2019-12-10 23:07:13	아메리카노	5	
2019-12-10 23:07:13	청포도 에이드	3	
2019-12-10 23:07:13	초코 케이크	2	
2019-12-10 23:07:13	크레페	1	
2019-12-10 23:07:24	청포도 에이드	1	
2019-12-10 23:07:24	카페 라떼	1	
2019-12-10 23:07:24	아메리카노	2	
2019-12-10 23:07:24	빈티지 유리컵	2	
2019-12-10 23:07:24	커피 콩 스피커	2	
2019-12-10 23:07:56	청포도 에이드	1	
2019-12-10 23:07:59	흑당 라떼	1	
2019-12-10 23:08:01	초코 스무디	1	
2019-12-10 23:08:04	블랙 밀크 티	2	
2019-12-10 23:08:06	흑당 라떼	1	
2019-12-10 23:08:08	블랙 밀크 티	1	
2019-12-10 23:08:12	초코 케이크	1	
2019-12-10 23:08:15	커피 콩 스피커	1	
2019-12-10 23:08:38	아메리카노	2	
2019-12-10 23:08:38	흑당 라떼	1	
2019-12-10 23:08:48	흑당 라떼	1	
2019-12-10 23:08:48	청포도 에이드	1	
2019-12-10 23:09:41	망고 스무디	14	
2019-12-10 23:10:04	청포도 에이드	3	
2019-12-10 23:10:18	아메리카노	10	
2019-12-10 23:10:55	아메리카노	5	
2019-12-10 23:11:17	아메리카노	3	
2019-12-10 23:11:27	블랙 밀크 티	1	
2019-12-10 23:12:01	아메리카노	2	
2019-12-10 23:12:01	흑당 라떼	1	
2019-12-10 23:12:01	초코 스무디	1	
2019-12-10 23:12:01	치즈 케이크	2	
2019-12-10 23:12:10	아메리카노	4	
2019-12-10 23:12:10	흑당 라떼	2	
2019-12-10 23:12:10	초코 스무디	1	
2019-12-10 23:12:10	치즈 케이크	2	
2019-12-10 23:12:10	2020 다이어리	2	
2019-12-10 23:13:20	망고 스무디	1	
2019-12-10 23:13:20	딸기 타르트	3	
2019-12-10 23:13:20	멤버십 카드	2	
2019-12-10 23:13:36	카페 라떼	4	
2019-12-10 23:13:36	크레페	4	
2019-12-10 23:13:36	커피 콩	3	
2019-12-10 23:14:54	빈티지 유리컵	4	
2019-12-10 23:14:54	치즈 케이크	5	
2019-12-10 23:15:10	딸기 타르트	12	
2019-12-10 23:15:38	카페 라떼	16	
2019-12-11 00:14:57	청포도 에이드	1	
2019-12-11 00:15:18	청포도 에이드	1	
2019-12-11 00:15:18	흑당 라떼	1	
